FECHA	TMAX	TMIN	NOMBRE
29/10/2023		20.5	TARTAGAL AERO
29/10/2023	40.2	20.0	TERMAS DE RIO HONDO AERO
29/10/2023	36.6	24.5	TINOGASTA
29/10/2023	17.8	7.2	TRELEW AERO
29/10/2023	24.6	13.4	TRENQUE LAUQUEN
29/10/2023	24.6	13.7	TRES ARROYOS
29/10/2023	38.2	19.2	TUCUMAN AERO
29/10/2023	5.9	0.2	USHUAIA AERO
29/10/2023	19.7	8.6	USPALLATA
29/10/2023	27.5	18.5	VENADO TUERTO AERO
29/10/2023	23.5	10.2	VICTORICA
29/10/2023	23.9	10.5	VIEDMA AERO
29/10/2023	40.2	22.7	VILLA DE MARIA DEL RIO SECO
29/10/2023	35.0	15.4	VILLA DOLORES AERO
29/10/2023	22.1	14.1	VILLA GESELL AERO
29/10/2023	26.2	10.6	VILLA REYNOLDS AERO
28/10/2023	26.0	18.7	AEROPARQUE AERO
28/10/2023	28.0	13.7	AZUL AERO
28/10/2023	31.4	8.8	BAHIA BLANCA AERO
28/10/2023	8.4	0.1	BARILOCHE AERO
28/10/2023	-5.0	-13.1	BASE BELGRANO II
28/10/2023	-6.8	-14.6	BASE CARLINI (EX JUBANY)
28/10/2023	-9.4	-13.4	BASE ESPERANZA
28/10/2023	-11.1	-15.2	BASE MARAMBIO
28/10/2023	-4.6	-10.0	BASE ORCADAS
28/10/2023	-1.3	-8.6	BASE SAN MARTIN
28/10/2023	26.3	12.0	BENITO JUAREZ AERO
28/10/2023	19.5	16.2	BERNARDO DE IRIGOYEN AERO
28/10/2023	30.0	11.2	BOLIVAR AERO
28/10/2023	27.9	18.8	BUENOS AIRES OBSERVATORIO
28/10/2023	29.6	17.2	CAMPO DE MAYO AERO
28/10/2023	37.4	16.9	CATAMARCA AERO
28/10/2023	33.6	16.4	CERES AERO
28/10/2023	36.6	15.0	CHAMICAL AERO
28/10/2023	10.0	1.0	CHAPELCO AERO
28/10/2023	36.5	17.5	CHEPES
28/10/2023	36.5	14.0	CHILECITO AERO
28/10/2023	23.6	16.0	CIPOLLETTI
28/10/2023	21.6	8.9	COMODORO RIVADAVIA AERO
28/10/2023	30.2	17.2	CONCORDIA AERO
28/10/2023	32.5	11.6	CORDOBA AERO
28/10/2023	32.3	13.6	CORDOBA OBSERVATORIO
28/10/2023	26.9	8.0	CORONEL SUAREZ AERO
28/10/2023	26.7	21.5	CORRIENTES AERO
28/10/2023		15.1	DOLORES AERO
28/10/2023	11.5	3.5	EL BOLSON AERO
28/10/2023	11.9	-1.0	EL CALAFATE AERO
28/10/2023	29.5	16.5	EL PALOMAR AERO
28/10/2023		11.0	ESCUELA DE AVIACION MILITAR AERO
28/10/2023	9.5	0.6	ESQUEL AERO
28/10/2023	29.5	16.2	EZEIZA AERO
28/10/2023	24.1	20.3	FORMOSA AERO
28/10/2023	31.5	10.0	GENERAL PICO AERO
28/10/2023	14.0	5.0	GOBERNADOR GREGORES AERO
28/10/2023	28.2	16.4	GUALEGUAYCHU AERO
28/10/2023	21.2	19.4	IGUAZU AERO
28/10/2023	23.0	20.6	ITUZAINGO
28/10/2023	35.0	6.0	JACHAL
28/10/2023	35.6	17.0	JUJUY AERO
28/10/2023	33.0	14.5	JUJUY U N
28/10/2023	29.1	11.8	JUNIN AERO
28/10/2023	26.3	17.0	LA PLATA AERO
28/10/2023	22.5	3.4	LA QUIACA OBSERVATORIO
28/10/2023	36.6	16.9	LA RIOJA AERO
28/10/2023	29.3	9.9	LABOULAYE AERO
28/10/2023	29.5	14.0	LAS FLORES
28/10/2023	32.0	23.8	LAS LOMITAS
28/10/2023	17.2	5.2	MALARGUE AERO
28/10/2023	14.0	3.8	MAQUINCHAO
