pais_id,pais,mercado,año,mes,producto,variedad,origen,precio_usd_kg,moneda_cod,moneda
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Manzana ,Verde,Argentina,1.41,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Mango,Injertado,Paraguay,0.41,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Naranja,Comun,Paraguay,0.54,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Pera,s/especificar,Paraguay,1.16,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Piña,Abacaxi,Argentina,0.68,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Pomelo,s/especificar,Paraguay,0.16,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Sandia,s/especificar,Paraguay,,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Uva,Blanca,Paraguay,0.88,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Uva ,Negra ,Argentina,,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Uva,Rosada,Argentina,0.88,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Aji,s/especificar,Argentina,0,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Ajo ,s/especificar,Argentina,3.24,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Apio ,s/especificar,Paraguay,0.71,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Batata ,Colorada,Paraguay,0.39,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Berenjena ,s/especificar,Paraguay,0.5,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Brocoli ,s/especificar,Paraguay,,USD,Dolares
221,Paraguay,Mercado Central de Asunción,2017,Febrero,Calabaza,s/especificar,Paraguay,0.21,USD,Dolares
